Alimento,PORCION,creditospor_porcion,creditoscada100_grs,Color_de_los_creditos
Alimento,porcion_carne_chica,4.0,4.0,rojo
Cerdo Chorizo,porcion_carne_chica,4.0,4.0,rojo
Cerdo Costilla A La Parrilla,porcion_carne_chica,4.0,4.0,rojo
Cerdo Costilla Flaca Cruda,porcion_carne_chica,4.0,4.0,rojo
Cerdo Jamon,porcion_carne_chica,4.0,4.0,rojo
Cerdo Jamon,porcion_carne_chica,4.0,4.0,rojo
Cerdo Panceta,porcion_carne_chica,4.0,4.0,rojo
Cordero Carne De La Paleta,porcion_carne_chica,2.0,2.0,amarillo
Cordero Carne De La Paleta Flaca A La Parrilla,porcion_carne_chica,3.0,3.0,amarillo
Pollo Asado A La Parrilla,porcion_carne_chica,3.0,3.0,amarillo
Pollo Asado Al Horno,porcion_carne_chica,3.0,3.0,amarillo
Pollo Carne-Pellejo-Menudos,porcion_carne_chica,2.0,2.0,amarillo
Pollo Hervido,porcion_carne_chica,3.0,3.0,amarillo
Rana Carne De La Pata Fresca Cruda,porcion_carne_chica,2.0,2.0,amarillo
Hamburguesas Light Asada,porcion_carne_chica,3.0,3.0,amarillo
Hamburguesas Regulares De Carne Vacuna Asadas,porcion_carne_chica,4.0,4.0,rojo
Salchichas Light Tipo Viena,porcion_carne_chica,3.0,3.0,amarillo
Salchichas Light Tipo Viena Hervidas,porcion_carne_chica,3.0,3.0,amarillo
Salchichas Tipo Viena,porcion_carne_chica,4.0,4.0,rojo
Salchichas Tipo Viena Hervidas,porcion_carne_chica,4.0,4.0,rojo
Vacuno Asado,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Bife A La Parrilla,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Bife Angosto C/C De Novillito,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Bola De Lomo De Novillito,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Brazuelo De Novillito,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Caracu (Medula De Hueso Largo),porcion_carne_chica,4.0,4.0,rojo
Vacuno Colita De Cuadril De Novillito,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Corazon De Cuadril De Novillito,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Cuadril Y Bife Angosto Flaco,porcion_carne_chica,3.0,3.0,amarillo
Vacuno En Conserva Enlatado,porcion_carne_chica,4.0,4.0,rojo
Vacuno Hamburguesas Cocidas,porcion_carne_chica,4.0,4.0,rojo
Vacuno Hamburguesas Crudas,porcion_carne_chica,4.0,4.0,rojo
Vacuno Hamburguesas Light Cocidas,porcion_carne_chica,3.0,3.0,amarillo
Vacuno Hamburguesas Light Crudas,porcion_carne_chica,3.0,3.0,amarillo
