alimento_normalizado,kcal_100g,archivo,categoria,medida_casera,gramos_aprox,kcal_por_porcion
Alimento,,argen_carnes.xls,carne,porcion_carne_chica,100,
Cerdo Chorizo,454.0,argen_carnes.xls,carne,porcion_carne_chica,100,454.0
Cerdo Costilla A La Parrilla,320.0,argen_carnes.xls,carne,porcion_carne_chica,100,320.0
Cerdo Costilla Flaca Cruda,250.0,argen_carnes.xls,carne,porcion_carne_chica,100,250.0
Cerdo Jamon,211.0,argen_carnes.xls,carne,porcion_carne_chica,100,211.0
Cerdo Jamon,473.0,argen_carnes.xls,carne,porcion_carne_chica,100,473.0
Cerdo Panceta,670.0,argen_carnes.xls,carne,porcion_carne_chica,100,670.0
Cordero Carne De La Paleta,99.0,argen_carnes.xls,carne,porcion_carne_chica,100,99.0
Cordero Carne De La Paleta Flaca A La Parrilla,182.0,argen_carnes.xls,carne,porcion_carne_chica,100,182.0
Pollo Asado A La Parrilla,168.0,argen_carnes.xls,carne,porcion_carne_chica,100,168.0
Pollo Asado Al Horno,162.0,argen_carnes.xls,carne,porcion_carne_chica,100,162.0
Pollo Carne-Pellejo-Menudos,88.0,argen_carnes.xls,carne,porcion_carne_chica,100,88.0
Pollo Hervido,198.0,argen_carnes.xls,carne,porcion_carne_chica,100,198.0
Rana Carne De La Pata Fresca Cruda,64.0,argen_carnes.xls,carne,porcion_carne_chica,100,64.0
Hamburguesas Light Asada,199.0,argen_carnes.xls,carne,porcion_carne_chica,100,199.0
Hamburguesas Regulares De Carne Vacuna Asadas,248.0,argen_carnes.xls,carne,porcion_carne_chica,100,248.0
Salchichas Light Tipo Viena,136.0,argen_carnes.xls,carne,porcion_carne_chica,100,136.0
Salchichas Light Tipo Viena Hervidas,139.0,argen_carnes.xls,carne,porcion_carne_chica,100,139.0
Salchichas Tipo Viena,211.0,argen_carnes.xls,carne,porcion_carne_chica,100,211.0
Salchichas Tipo Viena Hervidas,209.0,argen_carnes.xls,carne,porcion_carne_chica,100,209.0
Vacuno Asado,170.0,argen_carnes.xls,carne,porcion_carne_chica,100,170.0
Vacuno Bife A La Parrilla,189.0,argen_carnes.xls,carne,porcion_carne_chica,100,189.0
Vacuno Bife Angosto C/C De Novillito,190.0,argen_carnes.xls,carne,porcion_carne_chica,100,190.0
Vacuno Bola De Lomo De Novillito,114.0,argen_carnes.xls,carne,porcion_carne_chica,100,114.0
Vacuno Brazuelo De Novillito,120.0,argen_carnes.xls,carne,porcion_carne_chica,100,120.0
Vacuno Caracu (Medula De Hueso Largo),785.0,argen_carnes.xls,carne,porcion_carne_chica,100,785.0
Vacuno Colita De Cuadril De Novillito,143.0,argen_carnes.xls,carne,porcion_carne_chica,100,143.0
Vacuno Corazon De Cuadril De Novillito,116.0,argen_carnes.xls,carne,porcion_carne_chica,100,116.0
Vacuno Cuadril Y Bife Angosto Flaco,111.0,argen_carnes.xls,carne,porcion_carne_chica,100,111.0
Vacuno En Conserva Enlatado,224.0,argen_carnes.xls,carne,porcion_carne_chica,100,224.0
Vacuno Hamburguesas Cocidas,248.0,argen_carnes.xls,carne,porcion_carne_chica,100,248.0
Vacuno Hamburguesas Crudas,218.0,argen_carnes.xls,carne,porcion_carne_chica,100,218.0
Vacuno Hamburguesas Light Cocidas,199.0,argen_carnes.xls,carne,porcion_carne_chica,100,199.0
Vacuno Hamburguesas Light Crudas,175.0,argen_carnes.xls,carne,porcion_carne_chica,100,175.0
Vacuno Higado,132.0,argen_carnes.xls,carne,porcion_carne_chica,100,132.0
Vacuno Jugo De Carne,33.0,argen_carnes.xls,carne,porcion_carne_chica,100,33.0
Vacuno Lomo,116.0,argen_carnes.xls,carne,porcion_carne_chica,100,116.0
Vacuno Nalga De Novillito,106.0,argen_carnes.xls,carne,porcion_carne_chica,100,106.0
Vacuno Nalga,97.0,argen_carnes.xls,carne,porcion_carne_chica,100,97.0
Vacuno Paleta De Novillito,125.0,argen_carnes.xls,carne,porcion_carne_chica,100,125.0
Vacuno Paletin O Marucha De Novillito,132.0,argen_carnes.xls,carne,porcion_carne_chica,100,132.0
Vacuno Palomita De Novillito,116.0,argen_carnes.xls,carne,porcion_carne_chica,100,116.0
Vacuno Pasta De Higado,335.0,argen_carnes.xls,carne,porcion_carne_chica,100,335.0
