origen,archivo,alimento,kcal_100g,alimento_normalizado
ARGENFOOD,argen_carnes.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_carnes.xls,"Cerdo, chorizo, fresco, crudo",454,Cerdo Chorizo
ARGENFOOD,argen_carnes.xls,"Cerdo, costilla, a la parrilla",320,Cerdo Costilla A La Parrilla
ARGENFOOD,argen_carnes.xls,"Cerdo, costilla flaca, cruda",250,Cerdo Costilla Flaca Cruda
ARGENFOOD,argen_carnes.xls,"Cerdo, jamón cocido",211,Cerdo Jamon
ARGENFOOD,argen_carnes.xls,"Cerdo, jamón crudo",473,Cerdo Jamon
ARGENFOOD,argen_carnes.xls,"Cerdo, panceta",670,Cerdo Panceta
ARGENFOOD,argen_carnes.xls,"Cordero, carne de la paleta, crudo",99,Cordero Carne De La Paleta
ARGENFOOD,argen_carnes.xls,"Cordero, carne de la paleta, flaca, a la parrilla",182,Cordero Carne De La Paleta Flaca A La Parrilla
ARGENFOOD,argen_carnes.xls,"Pollo, asado a la parrilla",168,Pollo Asado A La Parrilla
ARGENFOOD,argen_carnes.xls,"Pollo, asado al horno",162,Pollo Asado Al Horno
ARGENFOOD,argen_carnes.xls,"Pollo, carne-pellejo-menudos, fresco, crudo",88,Pollo Carne-Pellejo-Menudos
ARGENFOOD,argen_carnes.xls,"Pollo, hervido",198,Pollo Hervido
ARGENFOOD,argen_carnes.xls,"Rana, carne de la pata, fresca, cruda",64,Rana Carne De La Pata Fresca Cruda
ARGENFOOD,argen_carnes.xls,Hamburguesas light asada,199,Hamburguesas Light Asada
ARGENFOOD,argen_carnes.xls,Hamburguesas regulares de carne vacuna asadas,248,Hamburguesas Regulares De Carne Vacuna Asadas
ARGENFOOD,argen_carnes.xls,Salchichas  light tipo Viena,136,Salchichas Light Tipo Viena
ARGENFOOD,argen_carnes.xls,Salchichas light tipo Viena hervidas,139,Salchichas Light Tipo Viena Hervidas
ARGENFOOD,argen_carnes.xls,Salchichas tipo Viena,211,Salchichas Tipo Viena
ARGENFOOD,argen_carnes.xls,Salchichas tipo Viena hervidas,209,Salchichas Tipo Viena Hervidas
ARGENFOOD,argen_carnes.xls,"Vacuno, asado, fresco, crudo",170,Vacuno Asado
ARGENFOOD,argen_carnes.xls,"Vacuno, bife, a la parrilla",189,Vacuno Bife A La Parrilla
ARGENFOOD,argen_carnes.xls,"Vacuno, bife angosto c/c de novillito, fresco, crudo",190,Vacuno Bife Angosto C/C De Novillito
ARGENFOOD,argen_carnes.xls,"Vacuno, bola de lomo de novillito, fresco, crudo",114,Vacuno Bola De Lomo De Novillito
ARGENFOOD,argen_carnes.xls,"Vacuno, brazuelo de novillito, fresco, crudo",120,Vacuno Brazuelo De Novillito
ARGENFOOD,argen_carnes.xls,"Vacuno, caracú (médula de hueso largo), crudo",785,Vacuno Caracu (Medula De Hueso Largo)
ARGENFOOD,argen_carnes.xls,"Vacuno, colita de cuadril de novillito, fresco, crudo",143,Vacuno Colita De Cuadril De Novillito
ARGENFOOD,argen_carnes.xls,"Vacuno, corazón de cuadril de novillito, fresco, crudo",116,Vacuno Corazon De Cuadril De Novillito
ARGENFOOD,argen_carnes.xls,"Vacuno, cuadril y bife angosto flaco, fresco, crudo",111,Vacuno Cuadril Y Bife Angosto Flaco
ARGENFOOD,argen_carnes.xls,"Vacuno, en conserva, enlatado",224,Vacuno En Conserva Enlatado
ARGENFOOD,argen_carnes.xls,"Vacuno, hamburguesas cocidas",248,Vacuno Hamburguesas Cocidas
ARGENFOOD,argen_carnes.xls,"Vacuno, hamburguesas crudas",218,Vacuno Hamburguesas Crudas
