origen,archivo,alimento,kcal_100g
ARGENFOOD,argen_carnes.xls,Alimento,Energía
ARGENFOOD,argen_carnes.xls,"Cerdo, chorizo, fresco, crudo",454
ARGENFOOD,argen_carnes.xls,"Cerdo, costilla, a la parrilla",320
ARGENFOOD,argen_carnes.xls,"Cerdo, costilla flaca, cruda",250
ARGENFOOD,argen_carnes.xls,"Cerdo, jamón cocido",211
ARGENFOOD,argen_carnes.xls,"Cerdo, jamón crudo",473
ARGENFOOD,argen_carnes.xls,"Cerdo, panceta",670
ARGENFOOD,argen_carnes.xls,"Cordero, carne de la paleta, crudo",99
ARGENFOOD,argen_carnes.xls,"Cordero, carne de la paleta, flaca, a la parrilla",182
ARGENFOOD,argen_carnes.xls,"Pollo, asado a la parrilla",168
ARGENFOOD,argen_carnes.xls,"Pollo, asado al horno",162
ARGENFOOD,argen_carnes.xls,"Pollo, carne-pellejo-menudos, fresco, crudo",88
ARGENFOOD,argen_carnes.xls,"Pollo, hervido",198
ARGENFOOD,argen_carnes.xls,"Rana, carne de la pata, fresca, cruda",64
ARGENFOOD,argen_carnes.xls,Hamburguesas light asada,199
ARGENFOOD,argen_carnes.xls,Hamburguesas regulares de carne vacuna asadas,248
ARGENFOOD,argen_carnes.xls,Salchichas  light tipo Viena,136
ARGENFOOD,argen_carnes.xls,Salchichas light tipo Viena hervidas,139
ARGENFOOD,argen_carnes.xls,Salchichas tipo Viena,211
ARGENFOOD,argen_carnes.xls,Salchichas tipo Viena hervidas,209
ARGENFOOD,argen_carnes.xls,"Vacuno, asado, fresco, crudo",170
ARGENFOOD,argen_carnes.xls,"Vacuno, bife, a la parrilla",189
ARGENFOOD,argen_carnes.xls,"Vacuno, bife angosto c/c de novillito, fresco, crudo",190
ARGENFOOD,argen_carnes.xls,"Vacuno, bola de lomo de novillito, fresco, crudo",114
ARGENFOOD,argen_carnes.xls,"Vacuno, brazuelo de novillito, fresco, crudo",120
ARGENFOOD,argen_carnes.xls,"Vacuno, caracú (médula de hueso largo), crudo",785
ARGENFOOD,argen_carnes.xls,"Vacuno, colita de cuadril de novillito, fresco, crudo",143
ARGENFOOD,argen_carnes.xls,"Vacuno, corazón de cuadril de novillito, fresco, crudo",116
ARGENFOOD,argen_carnes.xls,"Vacuno, cuadril y bife angosto flaco, fresco, crudo",111
ARGENFOOD,argen_carnes.xls,"Vacuno, en conserva, enlatado",224
ARGENFOOD,argen_carnes.xls,"Vacuno, hamburguesas cocidas",248
ARGENFOOD,argen_carnes.xls,"Vacuno, hamburguesas crudas",218
ARGENFOOD,argen_carnes.xls,"Vacuno, hamburguesas light cocidas",199
ARGENFOOD,argen_carnes.xls,"Vacuno, hamburguesas light crudas",175
ARGENFOOD,argen_carnes.xls,"Vacuno, hígado, crudo",132
ARGENFOOD,argen_carnes.xls,"Vacuno, jugo de carne",33
ARGENFOOD,argen_carnes.xls,"Vacuno, lomo, fresco, crudo",116
ARGENFOOD,argen_carnes.xls,"Vacuno, nalga de novillito, fresco, crudo",106
ARGENFOOD,argen_carnes.xls,"Vacuno, nalga, fresco, crudo",97
ARGENFOOD,argen_carnes.xls,"Vacuno, paleta de novillito, fresco, crudo",125
ARGENFOOD,argen_carnes.xls,"Vacuno, paletín o marucha de novillito, fresco, crudo",132
ARGENFOOD,argen_carnes.xls,"Vacuno, palomita de novillito, fresco, crudo",116
ARGENFOOD,argen_carnes.xls,"Vacuno, pasta de hígado",335
ARGENFOOD,argen_carnes.xls,"Vacuno, peceto de novillito, fresco, crudo",125
ARGENFOOD,argen_carnes.xls,"Vacuno, pecho de novillito, fresco, crudo",139
ARGENFOOD,argen_carnes.xls,"Vacuno, riñon, fresco, crudo",137
ARGENFOOD,argen_carnes.xls,"Vacuno, tapa de cuadril de novillito, fresco, crudo",211
ARGENFOOD,argen_carnes.xls,"Vacuno, ternera, costilla flaca, a la parrilla",139
ARGENFOOD,argen_carnes.xls,"Vacuno, ternera, costilla flaca, fresco, crudo",95
ARGENFOOD,argen_carnes.xls,"Vacuno, tortuguita de novillito, fresco, crudo",154
ARGENFOOD,argen_carnes.xls,"Vacuno, vacío, a la parrilla",258
ARGENFOOD,argen_carnes.xls,"Vacuno, vacío, al horno",241
ARGENFOOD,argen_carnes.xls,"Vacuno, vacío de novillito, fresco, crudo",174
ARGENFOOD,argen_carnes.xls,"Vacuno, vacío flaco, fresco, crudo",171
ARGENFOOD,argen_carnes.xls,"Bife, cocido",233
ARGENFOOD,argen_carnes.xls,"Bife, crudo",120
ARGENFOOD,argen_carnes.xls,"Nalga, cocida",197
ARGENFOOD,argen_carnes.xls,"Nalga, cruda",98
ARGENFOOD,argen_carnes.xls,"Paleta, cocida",207
ARGENFOOD,argen_carnes.xls,"Paleta, cruda",107
ARGENFOOD,argen_carnes.xls,"Vacío, cocido",231
ARGENFOOD,argen_carnes.xls,"Vacío, crudo",105
ARGENFOOD,argen_carnes.xls,"Bife, cocido",236
ARGENFOOD,argen_carnes.xls,"Bife, crudo",120
ARGENFOOD,argen_carnes.xls,"Nalga, cocida",177
ARGENFOOD,argen_carnes.xls,"Nalga, cruda",103
ARGENFOOD,argen_carnes.xls,"Paleta, cocida",192
ARGENFOOD,argen_carnes.xls,"Paleta, cruda",106
ARGENFOOD,argen_carnes.xls,"Vacío, cocido",203
ARGENFOOD,argen_carnes.xls,"Vacío, crudo",107
ARGENFOOD,argen_carnes.xls,"Jamon cocido ""Villafranca Novissimo"".El Bierzo. Reducido en colesterol",98
ARGENFOOD,argen_carnes.xls,"Lomo ahumado de cerdo cocido ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",95
ARGENFOOD,argen_carnes.xls,"Mortadela"" Villafranca Novissimo"". El Bierzo - reducida en grasa y en sodio",139
ARGENFOOD,argen_carnes.xls,"Pastron ahumado ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",79
ARGENFOOD,argen_carnes.xls,"Salame ""Villafranca Novissimo"".El Bierzo.Reducido en sodio y en colesterol",134
ARGENFOOD,argen_carnes.xls,Carne de vizcacha,46
ARGENFOOD,argen_cereales.xls,Alimento,Energía
ARGENFOOD,argen_cereales.xls,"Amaranto, semilla, cruda (Amarantus caudatus)",384
ARGENFOOD,argen_cereales.xls,"Amaranto, semilla, cruda (Amarantus hipochondriacus)",381
ARGENFOOD,argen_cereales.xls,"Amaranto, semilla, cruda (Amarantus mantegazzianus)",388
ARGENFOOD,argen_cereales.xls,"Amaranto, semillia, cruda (Amarantus cruentus)",384
ARGENFOOD,argen_cereales.xls,"Arroz, grano, blanco, pulido, crudo",339
ARGENFOOD,argen_cereales.xls,"Arroz, grano, blanco, pulido, hervido",82
ARGENFOOD,argen_cereales.xls,"Avena , grano, arrollada, cruda",383
ARGENFOOD,argen_cereales.xls,"Avena, grano, arrollada, cruda",343
ARGENFOOD,argen_cereales.xls,"Avena, grano, arrollada, hervida",86
ARGENFOOD,argen_cereales.xls,"Cebada, grano, mondado, perlado, crudo",317
ARGENFOOD,argen_cereales.xls,"Cebada, grano, mondado, perlado, hervido",82
ARGENFOOD,argen_cereales.xls,"Cebada, harina ""Genser"", cruda",328
ARGENFOOD,argen_cereales.xls,"Centeno, harina, clara, cruda",332
ARGENFOOD,argen_cereales.xls,"Centeno, pan",206
ARGENFOOD,argen_cereales.xls,"Centeno, pan con harina integral",214
ARGENFOOD,argen_cereales.xls,"Maiz, amarillo Leales, grano entero, crudo",346
ARGENFOOD,argen_cereales.xls,"Maiz amarillo, pisingallo, grano entero, crudo",345
ARGENFOOD,argen_cereales.xls,"Maiz amarillo, sémola, grano entero, crudo",305
ARGENFOOD,argen_cereales.xls,"Maiz, amarillo trópico 327, grano entero, crudo",344
ARGENFOOD,argen_cereales.xls,"Maiz, blanco 8 rayas, grano entero, crudo",340
ARGENFOOD,argen_cereales.xls,"Maiz, blanco perla, grano entero, crudo",335
ARGENFOOD,argen_cereales.xls,"Maiz, choclo",97
ARGENFOOD,argen_cereales.xls,"Maiz, grano, entero (Zea mays spp)",346
ARGENFOOD,argen_cereales.xls,"Maiz, harina amarilla (polenta), cruda",369
ARGENFOOD,argen_cereales.xls,"Maiz, harina amarilla (polenta), cruda",338
ARGENFOOD,argen_cereales.xls,"Maiz, harina amarilla (polenta), hervida",68
ARGENFOOD,argen_cereales.xls,"Maiz, pan",275
ARGENFOOD,argen_cereales.xls,"Trigo, bizcochos ""Bay Biscuit""",382
ARGENFOOD,argen_cereales.xls,"Trigo, bizcochos, vainillas",401
ARGENFOOD,argen_cereales.xls,"Trigo, galleta de campo",300
ARGENFOOD,argen_cereales.xls,"Trigo, galleta marinera",361
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de agua ""Express""",442
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de agua ""Traviata""",437
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de harina blanca",410
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de harina integral",411
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas dulces ""Manón""",417
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas dulces ""Minue""",419
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas oblea ""Opera""",442
ARGENFOOD,argen_cereales.xls,"Trigo, grano entero, crudo",347
ARGENFOOD,argen_cereales.xls,"Trigo, grisines",342
ARGENFOOD,argen_cereales.xls,"Trigo, harina cuatro ceros",348
ARGENFOOD,argen_cereales.xls,"Trigo, harina integral",308
ARGENFOOD,argen_cereales.xls,"Trigo, harina tres cero",340
ARGENFOOD,argen_cereales.xls,"Trigo, pan alemán",264
ARGENFOOD,argen_cereales.xls,"Trigo, pan criollo",280
ARGENFOOD,argen_cereales.xls,"Trigo, pan de salvado",223
ARGENFOOD,argen_cereales.xls,"Trigo, pan de Viena",307
ARGENFOOD,argen_cereales.xls,"Trigo, pan francés",268
ARGENFOOD,argen_cereales.xls,"Trigo, pan francés",269
ARGENFOOD,argen_cereales.xls,"Trigo, pan negro con levadura agria",271
ARGENFOOD,argen_cereales.xls,"Trigo, pan negro con levadura comprimida",269
ARGENFOOD,argen_cereales.xls,"Trigo, pan negro sin levadura",269
ARGENFOOD,argen_cereales.xls,"Trigo, salvado",171
ARGENFOOD,argen_cereales.xls,"Trigo, sémola, cruda",349
ARGENFOOD,argen_cereales.xls,"Trigo, sémola, hervida",70
ARGENFOOD,argen_cereales.xls,"Trigo, tallarines, frescos, hervidos",98
ARGENFOOD,argen_frutas.xls,Alimento,Energía
ARGENFOOD,argen_frutas.xls,Aceituna de monte,93
ARGENFOOD,argen_frutas.xls,"Aceituna verde, pulpa, encurtida",144
ARGENFOOD,argen_frutas.xls,"Ananá enlatado, contenido envase",87
ARGENFOOD,argen_frutas.xls,"Ananá, pulpa, fresco",58
ARGENFOOD,argen_frutas.xls,"Banana, pulpa, fresca",99
ARGENFOOD,argen_frutas.xls,"Cereza, pulpa, fresca",68
ARGENFOOD,argen_frutas.xls,"Ciruela, pasa, cruda",255
ARGENFOOD,argen_frutas.xls,"Ciruela, pasa, hervida",165
ARGENFOOD,argen_frutas.xls,"Ciruela, pulpa, fresca",56
ARGENFOOD,argen_frutas.xls,"Coco, pulpa, fresco, crudo",382
ARGENFOOD,argen_frutas.xls,"Damasco, pulpa, fresco, crudo",57
ARGENFOOD,argen_frutas.xls,Doca,49
ARGENFOOD,argen_frutas.xls,"Durazno orejón, pulpa y piel, hervido",40
ARGENFOOD,argen_frutas.xls,"Durazno, pulpa, envasado al natural",75
ARGENFOOD,argen_frutas.xls,"Durazno, pulpa, fresco, crudo",51
