alimento,kcal,origen,hoja
"Rice, BETA, bran, raw",274.76,FAO,01 Cereals
"Rice, B 189, bran, raw",363.73,FAO,01 Cereals
"Rice, GK 88, bran, raw",358.5,FAO,01 Cereals
"Rice, GRUG 7, bran, raw",245.77,FAO,01 Cereals
"Rice, IR 64, bran, raw",365.78,FAO,01 Cereals
"Rice, IR 66, bran, raw",358.62,FAO,01 Cereals
"Rice, IR 68, bran, raw",355.54,FAO,01 Cereals
"Rice, ITA 72, bran, raw",388.33,FAO,01 Cereals
"Rice, ITA 222, bran, raw",365.66,FAO,01 Cereals
"Rice, ITA 304, bran, raw",356.31,FAO,01 Cereals
"Rice, ITA 334, bran, raw",354.75,FAO,01 Cereals
"Rice, ITA 402, bran, raw",363.71,FAO,01 Cereals
"Rice, ITA 406, bran, raw",380.39,FAO,01 Cereals
"Rice, Mr. More, bran, raw",314.42,FAO,01 Cereals
"Rice, TOX 3108, bran, raw",345.53,FAO,01 Cereals
"Rice, MR 219 and MR 84, bran, microwaved",289.6,FAO,01 Cereals
"Rice, MR 219 and MR 84, bran, microwaved",319.2,FAO,01 Cereals
"Rice, MR 219 and MR 84, bran, microwaved",292.4,FAO,01 Cereals
"Rice, MR 219 and MR 84, bran, microwaved",314.9,FAO,01 Cereals
"Eincorn wheat, grain, raw",331.02,FAO,01 Cereals
"Potato, Atlantic, ripe, peel removed, raw",79.57,FAO,02 Starchy Roots & Tubers
"Potato, Asterix, ripe, peel removed, raw",70.84,FAO,02 Starchy Roots & Tubers
"Potato, Innovator, ripe, peel removed, raw",80.4,FAO,02 Starchy Roots & Tubers
"Potato, Shepody, ripe, peel removed, raw",76.48,FAO,02 Starchy Roots & Tubers
"Dasheen, CEM/UM, peeled, raw",85.05,FAO,02 Starchy Roots & Tubers
"Dasheen, Branco, peeled, raw",90.95,FAO,02 Starchy Roots & Tubers
"Dasheen, Chinês, peeled, raw",134.71,FAO,02 Starchy Roots & Tubers
"Dasheen, Japonês, peeled, raw",86.68,FAO,02 Starchy Roots & Tubers
"Dasheen, Macaquinho, peeled, raw",67.68,FAO,02 Starchy Roots & Tubers
"cassava, flour, Qulle, peeled, raw",341.171358,FAO,02 Starchy Roots & Tubers
"cassava, flour, Qulle, peeled, boiled",345.98538,FAO,02 Starchy Roots & Tubers
"cassava, flour, Qulle, fermented",343.116065,FAO,02 Starchy Roots & Tubers
"cassava, flour, Kello, raw",353.77056,FAO,02 Starchy Roots & Tubers
"cassava, flour, Kello, peeled, boiled",347.17103,FAO,02 Starchy Roots & Tubers
"cassava, flour, Kello, fermented",356.266367,FAO,02 Starchy Roots & Tubers
"Taro, corm, raw",68.17,FAO,02 Starchy Roots & Tubers
"Common bean, var. Almonga, White, seeds, dried, raw",274.1895,FAO,03 Legumes
"Common bean, var. Almonga, White, seeds, canned, cooked, salt and ascorbic acid added, drained",123.71085,FAO,03 Legumes
"Common bean, var. Currilla, Cream, seeds, dried, raw",269.96075,FAO,03 Legumes
"Common bean, var. Currilla, Cream, seeds, canned, cooked, salt and ascorbic acid added, drained",144.05985,FAO,03 Legumes
"Lentil, Green, whole, large, raw",360,FAO,03 Legumes
"Lentil, Green, whole, medium, raw",361,FAO,03 Legumes
"Lentil, Green, whole, small, raw",362,FAO,03 Legumes
"Lentil, Green, whole, French, raw",361,FAO,03 Legumes
"Lentil, Green, dehulled split, large, raw",363,FAO,03 Legumes
"Lentil, Green, whole, large, cooked without salt, drained",156,FAO,03 Legumes
"Lentil, Green, whole, medium, cooked without salt, drained",159,FAO,03 Legumes
"Lentil, Green, whole, small, cooked without salt, drained",149,FAO,03 Legumes
"Lentil, Green, whole, French, cooked without salt, drained",145,FAO,03 Legumes
"Lentil, Green, dehulled split, large, cooked without salt, drained",150,FAO,03 Legumes
"Lentil, Red, whole, small, raw",363,FAO,03 Legumes
"Lentil, Red, whole, small, cooked without salt, drained",149,FAO,03 Legumes
"Lentil, Red, whole, extra small, raw",361,FAO,03 Legumes
"Lentil, Red, whole, extra small, cooked without salt, drained",168,FAO,03 Legumes
"Lentil, Red, dehulled split, small, raw",361,FAO,03 Legumes
"Lentil, Red, dehulled split, small, cooked without salt, drained",120,FAO,03 Legumes
"Pea, Green, whole, raw",360,FAO,03 Legumes
"Pea, Green, whole, cooked without salt, drained",135,FAO,03 Legumes
"Pea, Green, dehulled split, raw",360,FAO,03 Legumes
"Pea, Green, dehulled split, cooked without salt, drained",124,FAO,03 Legumes
"Pea, Yellow, whole, raw",359,FAO,03 Legumes
"Pea, Yellow, whole, cooked without salt, drained",143,FAO,03 Legumes
"Pea, Yellow, dehulled split, raw",359,FAO,03 Legumes
"Pea, Yellow, dehulled split, cooked without salt, drained",160,FAO,03 Legumes
"Chickpea, Desi, raw",393,FAO,03 Legumes
"Chickpea, Desi, water-soaked, cooked without salt, drained",166,FAO,03 Legumes
"Chickpea, Kabuli, raw",395,FAO,03 Legumes
"Chickpea, Kabuli, water-soaked, cooked without salt, drained",170,FAO,03 Legumes
"Cowpea, White, seeds, sun-dried, raw",338.54373,FAO,03 Legumes
"Cowpea, Red, seeds, sun-dried, raw",317.49722,FAO,03 Legumes
"Cowpea, 'BRS-Milênio', seeds, raw",303.996,FAO,03 Legumes
"V. aconitifolia, seeds, raw",363.04537,FAO,03 Legumes
"V. vexillata, seeds, raw",342.534834,FAO,03 Legumes
"Cowpea, var. Asmerly, seeds, raw",342.946803,FAO,03 Legumes
"Kidney bean, var. Giza 3, White, seeds, raw",331.520156,FAO,03 Legumes
"Kidney bean, seeds, raw",338.66274,FAO,03 Legumes
"Pea, seeds, raw",350.790075,FAO,03 Legumes
"Moth bean, seeds, whole, raw",331,FAO,03 Legumes
"Moth bean, seeds, dehulled, raw",343,FAO,03 Legumes
